filename,split,inferred_source,provenance_evidence,sha256,n_annotations,class_ids_present,width,height
COCO_M_A_101.jpg,train,own_field,declared_by_author,545f9283743762f591d74b2b8e1a952f73b9873e4f2a2b5569919c528e5cd68d,19,0;1,576,960
COCO_M_A_103.jpg,train,own_field,declared_by_author,e8f1b9b53b1a3560f7300463d86db2139b144dec7eca65c95ff623142bb09b4f,17,0;1,448,960
COCO_M_A_11.jpg,train,own_field,declared_by_author,fc3f40f31ec6ab9234f1caa1834161ea4ad9548311b7db9d55f121b32c65162a,17,1,960,704
COCO_M_A_12.jpg,train,own_field,declared_by_author,3e6ee3608bdcdea9ea1f1130890ad649b166889c6733396dc0be8a3db94eb681,6,0;1,640,960
COCO_M_A_14.jpg,train,own_field,declared_by_author,d0ffe809d33cd5c17ac968ed815e8178672e4ade8bcd7971504a892e64409096,9,1,512,960
COCO_M_A_15.jpg,train,own_field,declared_by_author,f1e8d490b6644a355aa8567c9719e40fc1104467312dc8679b9e5c1b58a3c602,14,0;1,960,448
COCO_M_A_16.jpg,train,own_field,declared_by_author,69e556c9b3398f6adfa4a9f682425cd8ffe23339773067c740c87ea1fa79f045,6,1,832,960
COCO_M_A_17.jpg,train,own_field,declared_by_author,6b5a799a55ddd136739633081f04e9f52d01783def6d234a86b577fac8013a34,11,0;1,448,960
COCO_M_A_19.jpg,train,own_field,declared_by_author,392420e6c67bb7e547f332a6ed9f52b2091e7c54ce0b3892971900dd3b39fa31,18,1,576,960
COCO_M_A_24.jpg,train,own_field,declared_by_author,e764c8ef4ead3b9d0521ed106e83515bb4d34a08d48e0098d1588b9588fca413,29,0;1,768,960
COCO_M_A_25.jpg,train,own_field,declared_by_author,6854068aa92ba77a1cb4551f22ade84b90110a452faa4dd9f64b566c57de5de3,7,1,640,960
COCO_M_A_26.jpg,train,own_field,declared_by_author,00f3d5930160d96bd00bc4da1808de444b3835d60967eef45c263e357de0c051,14,1,960,448
COCO_M_A_27.jpg,train,own_field,declared_by_author,58c993988537f137a818161f01e363923f9bf174846156cddb1b4b95a4431b58,8,1,576,960
COCO_M_A_28.jpg,train,own_field,declared_by_author,cec32206b49b8c8fdcb451e3747833afaacbc4bbdc8ef6df0376771e3f54b6e4,36,0;1,512,960
COCO_M_A_29.jpg,train,own_field,declared_by_author,4018a5061d4978f939e17ff91fd829431954231597dc8c21907f341be8abad71,14,0;1,960,640
COCO_M_A_3.jpg,train,own_field,declared_by_author,ff984cc1c6b8475774930925a57eae05383c83052aed67ba9a08bcb5dfad227b,16,1,512,960
COCO_M_A_31.jpg,train,own_field,declared_by_author,45dc4f244b8333767755309dba1d85b04f465300578fc189429acf08621ab722,10,1,960,640
COCO_M_A_32.jpg,train,own_field,declared_by_author,e4552f3caabdf5669cb880e23cdd13a412f7035f20c8c10ef6ae97d66f72b847,22,1,576,960
COCO_M_A_33.jpg,train,own_field,declared_by_author,f57b442e9cbe6e774de16e210930b5f12197ea44c92a2d5405b2aeafc0736cd7,5,1,640,960
COCO_M_A_35.jpg,train,own_field,declared_by_author,c8cb3e572a950c6fa5d9a701cb0ff34cf351a4ae0a6ea0fc72034ed3f1b4651a,29,1,960,768
COCO_M_A_37.jpg,train,own_field,declared_by_author,cc5569f223d23134b16dc0c3f5c79a939515aa5e138da9992f5a5564bbe88c28,7,0;1,960,448
COCO_M_A_38.jpg,train,own_field,declared_by_author,22719058cc1c5f42b230a6d70904e157337dfbffd0c9a6dd24a6081735867173,15,1,960,640
