filepath,split,stem,datetime_original,datetime_fallback,timestamp_used,timestamp_source,timestamp_raw,camera_make,camera_model,has_gps
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_1.jpg,train,COCO_M_A_1,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_101.jpg,train,COCO_M_A_101,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_104.jpg,train,COCO_M_A_104,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_11.jpg,train,COCO_M_A_11,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_12.jpg,train,COCO_M_A_12,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_14.jpg,train,COCO_M_A_14,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_15.jpg,train,COCO_M_A_15,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_17.jpg,train,COCO_M_A_17,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_18.jpg,train,COCO_M_A_18,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_19.jpg,train,COCO_M_A_19,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_20.jpg,train,COCO_M_A_20,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_21.jpg,train,COCO_M_A_21,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_23.jpg,train,COCO_M_A_23,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_24.jpg,train,COCO_M_A_24,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_26.jpg,train,COCO_M_A_26,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_28.jpg,train,COCO_M_A_28,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_29.jpg,train,COCO_M_A_29,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_31.jpg,train,COCO_M_A_31,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_32.jpg,train,COCO_M_A_32,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_33.jpg,train,COCO_M_A_33,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_38.jpg,train,COCO_M_A_38,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_4.jpg,train,COCO_M_A_4,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_40.jpg,train,COCO_M_A_40,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_41.jpg,train,COCO_M_A_41,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_42.jpg,train,COCO_M_A_42,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_43.jpg,train,COCO_M_A_43,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_44.jpg,train,COCO_M_A_44,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_45.jpg,train,COCO_M_A_45,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_46.jpg,train,COCO_M_A_46,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_47.jpg,train,COCO_M_A_47,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_48.jpg,train,COCO_M_A_48,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_49.jpg,train,COCO_M_A_49,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_50.jpg,train,COCO_M_A_50,,,,no_timestamp,,,,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_51.jpg,train,COCO_M_A_51,,,,no_timestamp,,,,False
